vps107_16GB,99th,95th,90th,average
tra,642531384.0,91464382.0,46679487.0,33708841.59425123
new_1,637444341.0,92640641.0,46388720.0,33989588.64778793
new_3,718442509.0,95678973.0,47841604.0,37618129.811239034
new_5,744757045.0,99672987.0,49256766.0,41886043.45984657
new_7,744757045.0,99672987.0,49256766.0,41886043.45984657
new_9,744757045.0,99672987.0,49256766.0,41886043.45984657
new_1/tra,0.9920828100748461,1.0128602957159871,0.9937709898140055,1.0083285879982473
new_3/tra,1.1181438399591077,1.0460790409101546,1.0248956677694423,1.1159721910365055
new_5/tra,1.1590983157330101,1.0897464654601832,1.055212239157641,1.242583295030521
new_7/tra,1.1590983157330101,1.0897464654601832,1.055212239157641,1.242583295030521
new_9/tra,1.1590983157330101,1.0897464654601832,1.055212239157641,1.242583295030521

exchange,99th,95th,90th,average
tra,131313305.0,101007434.0,83681771.0,35298855.53787625
new_1,141866924.0,103682827.0,85301783.0,36120439.42548818
new_3,154756526.0,106681787.0,86911686.0,37953710.13395639
new_5,724342247.0,118644456.0,93442405.0,268464076.4764601
new_7,852918718.0,119071014.0,93649859.0,368024510.92164004
new_9,852918718.0,119071014.0,93649859.0,368024510.92164004
new_1/tra,1.0803697614647656,1.0264870900492333,1.0193591983133339,1.023275085695919
new_3/tra,1.1785289083996477,1.0561775779790623,1.0385975937340044,1.0752107839086011
new_5/tra,5.516137507924273,1.1746111281274605,1.1166399071549287,7.605461207896493
new_7/tra,6.495295491953386,1.1788341638299613,1.1191189894869695,10.425961559199667
new_9/tra,6.495295491953386,1.1788341638299613,1.1191189894869695,10.425961559199667

hm0,99th,95th,90th,average
tra,1043303453.0,419243187.0,139709199.0,57703816.433873825
new_1,1049673711.0,420304151.0,139313229.0,57763719.67008569
new_3,1052928032.0,423214672.0,140062905.0,58346355.78148148
new_5,1070184484.0,425789728.0,140535769.0,59077523.196880125
new_7,1083425632.0,431192023.0,141964680.0,60458088.85940246
new_9,1089793250.0,433128039.0,142574205.0,63740476.465591915
new_1/tra,1.0061058534616008,1.002530664857292,0.9971657557066088,1.0010381156726524
new_3/tra,1.009225100302625,1.0094729863791443,1.0025317302119812,1.011135127402604
new_5/tra,1.025765304353881,1.0156151398591482,1.0059163605969854,1.0238061682554482
new_7/tra,1.0384568639973628,1.028500966433117,1.0161441123143222,1.047731200390964
new_9/tra,1.0445601870350563,1.0331188494662407,1.0205069245297154,1.1046145715272724

proj0_16GB,99th,95th,90th,average
tra,133452319356.0,99758375820.0,48775160878.0,13864272536.623215
new_1,132508789676.0,98173696176.0,46590588376.0,13605109749.114254
new_3,135472057162.0,98998020251.0,47357440496.0,13834826027.971888
new_5,141065845503.0,101159787162.0,49063887821.0,14378873813.590963
new_7,150789165562.0,105750907312.0,53348600189.0,15703829502.409214
new_9,150789165562.0,105750907312.0,53348600189.0,15703829502.409214
new_1/tra,0.9929298367795091,0.9841148211268061,0.955211372701277,0.9813071485125261
new_3/tra,1.0151345275657002,0.9923780277821287,0.9709335580553777,0.9978760870017852
new_5/tra,1.0570505344810832,1.0140480569223445,1.0059195487580694,1.037117077409464
new_7/tra,1.129910415118016,1.0600704596756134,1.09376574528251,1.1326832663543442
new_9/tra,1.129910415118016,1.0600704596756134,1.09376574528251,1.1326832663543442

ts0_16GB,99th,95th,90th,average
tra,36040762.0,6076087.0,4541685.0,2228692.7807853264
new_1,36447026.0,6100966.0,4556231.0,2237147.214514431
new_3,36609266.0,6115167.0,4569052.0,2243799.373040943
new_5,36805583.0,6136635.0,4585223.0,2253665.84762573
new_7,36921718.0,6176700.0,4597918.0,2267540.9181066314
new_9,37176853.0,6243234.0,4620642.0,2409201.9117706255
new_1/tra,1.011272347682327,1.0040945759993232,1.0032027760621884,1.0037934495961016
new_3/tra,1.015773917321726,1.0064317709736545,1.0060257371438133,1.0067782299946668
new_5/tra,1.0212209997113824,1.0099649659394279,1.0095863099268223,1.0112052531671072
new_7/tra,1.0244433233681352,1.0165588478242658,1.0123815280011714,1.0174309073265881
new_9/tra,1.031522391230241,1.0275089872807943,1.0173849573451264,1.0809932766604524

usr0_16GB,99th,95th,90th,average
tra,149145137.0,102751576.0,95305860.0,34275506.8162981
new_1,151177225.0,102748283.0,95272335.0,34335061.211269446
new_3,153071384.0,102757505.0,95279495.0,34378317.2474368
new_5,156034489.0,102879833.0,95298622.0,34557556.994856864
new_7,158709943.0,102981918.0,95399770.0,34711022.5498533
new_9,160236645.0,103045036.0,95466948.0,34852609.40842378
new_1/tra,1.0136249028354174,0.9999679518297607,0.9996482377893657,1.0017375204775392
new_3/tra,1.0263250085049707,1.000057702277968,0.999723364334575,1.0029995305887005
new_5/tra,1.0461922670666761,1.0012482241634912,0.9999240550371195,1.008228913435779
new_7/tra,1.0641308606662785,1.0022417369053298,1.0009853538911457,1.0127063251285935
new_9/tra,1.0743672118521705,1.002856014588039,1.001690221356798,1.016837171663681

